Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre_Ajustado,Volumen
2025-10-07,1803907.38,1814529.13,1786251.0,1793951.75,1793951.75,
2025-10-03,1808661.0,1821067.0,1774854.0,1805024.0,1805024.0,
2025-10-02,1764590.0,1813607.0,1740362.0,1808661.0,1808661.0,
2025-10-01,1773440.0,1803804.0,1762032.0,1764590.0,1764590.0,
2025-09-30,1793185.0,1795915.0,1735975.0,1773440.0,1773440.0,
,1791046.0,1807452.0,1765334.0,1793185.0,1793185.0,
,1769066.0,1823871.0,1762754.0,1791046.0,1791046.0,
,1843667.0,1844057.0,1757533.0,1767848.0,1767848.0,
,1815424.0,1934773.0,1815424.0,1843319.0,1843319.0,
,1811039.0,1847371.0,1760718.0,1815382.0,1815382.0,
,1687361.0,1820531.0,1687361.0,1811039.0,1811039.0,
,1695530.0,1712206.0,1635451.0,1683960.0,1683960.0,
,1783520.0,1783520.0,1676880.0,1695530.0,1695530.0,
,1788269.0,1819746.0,1776671.0,1783520.0,1783520.0,
,1748702.0,1804760.0,1748702.0,1788269.0,1788269.0,
,1759874.0,1784332.0,1739492.0,1748702.0,1748702.0,
,1805182.0,1818973.0,1734448.0,1759874.0,1759874.0,
,1825228.0,1850735.0,1795866.0,1805182.0,1805182.0,
,1728447.0,1835484.0,1728447.0,1825228.0,1825228.0,
,1732924.0,1791494.0,1726355.0,1728447.0,1728447.0,
,1997624.0,1997624.0,1723050.0,1732924.0,1732924.0,
,1991392.0,2030490.0,1948914.0,1997624.0,1997624.0,
,1933987.0,2004015.0,1933200.0,1990320.0,1990320.0,
,1979267.0,1989629.0,1923026.0,1933987.0,1933987.0,
,1939743.0,1980485.0,1905450.0,1975730.0,1975730.0,
,1984845.0,1988251.0,1927627.0,1939743.0,1939743.0,
,1997379.0,2001555.0,1962871.0,1984845.0,1984845.0,
,1974151.0,2044300.0,1973560.0,1997379.0,1997379.0,
,2034487.0,2034487.0,1966584.0,1974151.0,1974151.0,
,2022178.0,2054391.0,1993856.0,2033345.0,2033345.0,
,2106240.0,2106240.0,2015655.0,2021852.0,2021852.0,
,2103163.0,2153550.0,2103163.0,2106200.0,2106200.0,
,2081951.0,2129288.0,2073856.0,2103163.0,2103163.0,
,2092206.0,2137977.0,2079378.0,2081951.0,2081951.0,
,2198382.0,2202050.0,2089557.0,2092206.0,2092206.0,
,2188543.0,2225542.0,2166137.0,2198382.0,2198382.0,
